date,dxy
2000-01-17,104.48
2000-01-24,104.29
2000-01-31,104.19
2000-02-07,104.63
2000-02-14,105.26
2000-02-21,106.0
2000-02-28,105.71
2000-03-06,105.2
2000-03-13,104.77
2000-03-20,105.44
2000-03-27,105.97
2000-04-03,105.75
2000-04-10,107.45
2000-04-17,110.14
2000-04-24,111.31
2000-05-01,109.9
2000-05-08,111.47
2000-05-15,109.12
2000-05-22,108.12
2000-05-29,106.99
2000-06-05,105.96
2000-06-12,108.01
2000-06-19,106.84
2000-06-26,107.65
2000-07-03,108.45
2000-07-10,108.42
2000-07-17,109.74
2000-07-24,110.85
2000-07-31,111.21
2000-08-07,111.01
2000-08-14,111.35
2000-08-21,111.42
2000-08-28,114.34
2000-09-04,115.94
2000-09-11,113.56
2000-09-18,113.25
2000-09-25,114.85
2000-10-02,115.86
2000-10-09,117.16
2000-10-16,117.39
2000-10-23,114.97
2000-10-30,115.79
2000-11-06,117.31
2000-11-13,118.48
2000-11-20,114.73
2000-11-27,114.05
2000-12-04,112.9
2000-12-11,110.82
2000-12-18,109.56
2000-12-25,108.42
2001-01-01,109.36
2001-01-08,110.66
2001-01-15,111.46
2001-01-22,110.32
2001-01-29,111.52
2001-02-05,112.26
2001-02-12,112.03
2001-02-19,111.17
2001-02-26,111.44
2001-03-05,115.32
2001-03-12,115.94
2001-03-19,117.37
2001-03-26,114.75
2001-04-02,115.54
2001-04-09,114.32
2001-04-16,115.62
2001-04-23,114.93
2001-04-30,116.84
2001-05-07,116.41
2001-05-14,118.18
2001-05-21,118.89
2001-05-28,119.21
2001-06-04,118.29
2001-06-11,118.91
2001-06-18,119.43
2001-06-25,119.9
2001-07-02,119.33
2001-07-09,117.21
2001-07-16,116.94
2001-07-23,116.14
2001-07-30,115.29
2001-08-06,112.99
2001-08-13,113.33
2001-08-20,113.42
2001-08-27,114.05
2001-09-03,114.57
2001-09-10,113.04
2001-09-17,113.48
2001-09-24,112.91
2001-10-01,113.89
2001-10-08,114.86
2001-10-15,115.65
2001-10-22,114.54
2001-10-29,115.09
2001-11-05,116.41
2001-11-12,117.33
2001-11-19,116.13
2001-11-26,116.15
2001-12-03,114.93
2001-12-10,116.98
2001-12-17,117.26
2001-12-24,116.33
2001-12-31,116.64
2002-01-07,117.51
2002-01-14,119.85
2002-01-21,119.79
2002-01-28,118.98
2002-02-04,118.6
2002-02-11,118.48
2002-02-18,119.4
2002-02-25,117.99
2002-03-04,117.22
2002-03-11,118.05
2002-03-18,118.62
2002-03-25,117.69
2002-04-01,117.74
2002-04-08,116.29
2002-04-15,115.04
2002-04-22,113.59
2002-04-29,113.95
2002-05-06,113.0
2002-05-13,112.8
2002-05-20,111.81
2002-05-27,110.99
2002-06-03,110.76
2002-06-10,108.19
2002-06-17,106.11
2002-06-24,107.67
2002-07-01,105.89
2002-07-08,104.06
2002-07-15,106.61
2002-07-22,106.67
2002-07-29,108.21
2002-08-05,106.72
2002-08-12,107.97
2002-08-19,106.98
2002-08-26,106.84
2002-09-02,108.06
2002-09-09,107.53
2002-09-16,107.53
2002-09-23,107.6
2002-09-30,107.25
2002-10-07,108.52
2002-10-14,107.92
2002-10-21,106.08
2002-10-28,104.5
2002-11-04,105.04
2002-11-11,106.12
2002-11-18,106.41
2002-11-25,105.36
2002-12-02,103.98
2002-12-09,103.46
2002-12-16,102.41
2002-12-23,102.47
2002-12-30,101.23
2003-01-06,100.55
2003-01-13,99.22
2003-01-20,99.91
2003-01-27,99.57
2003-02-03,100.04
2003-02-10,100.09
2003-02-17,99.71
2003-02-24,98.04
2003-03-03,99.99
2003-03-10,101.92
2003-03-17,99.96
2003-03-24,100.45
2003-03-31,100.18
2003-04-07,99.3
2003-04-14,98.36
2003-04-21,96.76
2003-04-28,94.98
2003-05-05,94.08
2003-05-12,93.05
2003-05-19,93.27
2003-05-26,93.48
2003-06-02,92.22
2003-06-09,94.04
2003-06-16,95.15
2003-06-23,94.55
2003-06-30,95.8
2003-07-07,96.86
2003-07-14,94.96
2003-07-21,96.66
2003-07-28,96.36
2003-08-04,96.65
2003-08-11,98.83
2003-08-18,98.1
2003-08-25,97.09
2003-09-01,96.01
2003-09-08,94.96
2003-09-15,93.87
2003-09-22,93.23
2003-09-29,91.52
2003-10-06,92.29
2003-10-13,91.28
2003-10-20,92.73
2003-10-27,93.02
2003-11-03,91.44
2003-11-10,90.6
2003-11-17,90.21
2003-11-24,89.14
2003-12-01,88.49
2003-12-08,88.11
2003-12-15,87.63
2003-12-22,86.92
2003-12-29,85.11
2004-01-05,87.73
2004-01-12,86.56
2004-01-19,87.2
2004-01-26,86.02
2004-02-02,85.56
2004-02-09,87.24
2004-02-16,87.31
2004-02-23,88.18
2004-03-01,89.12
2004-03-08,88.16
2004-03-15,88.89
2004-03-22,88.51
2004-03-29,89.02
2004-04-05,89.94
2004-04-12,91.08
2004-04-19,90.48
2004-04-26,91.13
2004-05-03,91.66
2004-05-10,90.49
2004-05-17,88.95
2004-05-24,88.54
2004-05-31,90.01
2004-06-07,89.08
2004-06-14,88.88
2004-06-21,87.97
2004-06-28,87.42
2004-07-05,87.14
2004-07-12,89.26
2004-07-19,89.96
2004-07-26,88.36
2004-08-02,87.9
2004-08-09,88.12
2004-08-16,89.77
2004-08-23,89.63
2004-08-30,88.39
2004-09-06,88.91
2004-09-13,88.4
2004-09-20,87.63
2004-09-27,87.45
2004-10-04,87.09
2004-10-11,85.87
2004-10-18,84.91
2004-10-25,84.01
2004-11-01,83.69
2004-11-08,83.31
2004-11-15,81.78
2004-11-22,80.98
2004-11-29,82.55
2004-12-06,82.16
2004-12-13,81.22
2004-12-20,80.85
2004-12-27,83.61
2005-01-03,83.06
2005-01-10,83.26
2005-01-17,83.48
2005-01-24,84.39
2005-01-31,84.57
2005-02-07,83.49
2005-02-14,82.66
2005-02-21,82.54
2005-02-28,81.42
2005-03-07,82.13
2005-03-14,84.13
2005-03-21,84.43
2005-03-28,84.47
2005-04-04,84.56
2005-04-11,83.5
2005-04-18,84.43
2005-04-25,84.61
2005-05-02,86.1
2005-05-09,86.63
2005-05-16,86.42
2005-05-23,88.04
2005-05-30,88.69
2005-06-06,87.73
2005-06-13,88.78
2005-06-20,90.13
2005-06-27,90.25
2005-07-04,89.72
2005-07-11,89.64
2005-07-18,89.35
2005-07-25,88.06
2005-08-01,86.98
2005-08-08,88.58
2005-08-15,87.86
2005-08-22,86.3
2005-08-29,86.89
2005-09-05,88.05
2005-09-12,89.21
2005-09-19,89.52
2005-09-26,89.17
2005-10-03,89.35
2005-10-10,90.31
2005-10-17,89.59
2005-10-24,91.26
2005-10-31,91.98
2005-11-07,91.93
2005-11-14,92.04
2005-11-21,91.95
2005-11-28,91.25
2005-12-05,89.7
2005-12-12,90.84
2005-12-19,91.17
2005-12-26,88.85
2006-01-02,88.89
2006-01-09,88.95
2006-01-16,89.32
2006-01-23,89.89
2006-01-30,90.55
2006-02-06,90.64
2006-02-13,90.61
2006-02-20,89.66
2006-02-27,90.85
2006-03-06,88.92
2006-03-13,90.07
2006-03-20,89.73
2006-03-27,89.63
2006-04-03,89.62
2006-04-10,88.05
2006-04-17,86.11
2006-04-24,85.12
2006-05-01,83.96
2006-05-08,84.88
2006-05-15,85.26
2006-05-22,84.05
2006-05-29,85.72
2006-06-05,85.92
2006-06-12,86.82
2006-06-19,85.22
2006-06-26,84.98
2006-07-03,86.09
2006-07-10,85.93
2006-07-17,85.44
2006-07-24,84.57
2006-07-31,85.52
2006-08-07,85.09
2006-08-14,85.38
2006-08-21,84.94
2006-08-28,85.95
2006-09-04,85.99
2006-09-11,85.2
2006-09-18,85.97
2006-09-25,86.44
2006-10-02,87.12
2006-10-09,86.27
2006-10-16,85.56
2006-10-23,85.71
2006-10-30,85.05
2006-11-06,85.37
2006-11-13,83.71
2006-11-20,82.48
2006-11-27,83.33
2006-12-04,84.06
2006-12-11,83.94
2006-12-18,83.72
2006-12-25,84.63
2007-01-01,85.03
