date,sjc
2009-07-20,21140000
2009-07-27,21190000
2009-08-03,21190000
2009-08-10,21190000
2009-08-17,21190000
2009-08-24,21190000
2009-08-31,21190000
2009-09-07,21190000
2009-09-14,22130000
2009-09-21,22130000
2009-09-28,22230000
2009-10-05,23090000
2009-10-12,23520000
2009-10-19,23940000
2009-10-26,23850000
2009-11-02,25360000
2009-11-09,26300000
2009-11-16,27360000
2009-11-23,28200000
2009-11-30,28530000
2009-12-07,27300000
2009-12-14,26860000
2009-12-21,26560000
2009-12-28,26740000
2010-01-04,26830000
2010-01-11,26880000
2010-01-18,26380000
2010-01-25,26430000
2010-02-01,25000000
2010-02-08,26420000
2010-02-15,26600000
2010-02-22,26470000
2010-03-01,26780000
2010-03-08,26570000
2010-03-15,26510000
2010-03-22,26170000
2010-03-29,26150000
2010-04-05,26530000
2010-04-12,26480000
2010-04-19,26310000
2010-04-26,26560000
2010-05-03,27300000
2010-05-10,28220000
2010-05-17,27430000
2010-05-24,27730000
2010-05-31,27690000
2010-06-07,27930000
2010-06-14,28330000
2010-06-21,28530000
2010-06-28,28360000
2010-07-05,28220000
2010-07-12,28220000
2010-07-19,28110000
2010-07-26,27680000
2010-08-02,28030000
2010-08-09,28190000
2010-08-16,28820000
2010-08-23,28960000
2010-08-30,29300000
2010-09-06,29300000
2010-09-13,30000000
2010-09-20,30460000
2010-09-27,31340000
2010-10-04,32100000
2010-10-11,33210000
2010-10-18,32740000
2010-10-25,33030000
2010-11-01,34900000
2010-11-08,35850000
2010-11-15,35650000
2010-11-22,35770000
2010-11-29,36160000
2010-12-06,35860000
2010-12-13,35800000
2010-12-20,35810000
2010-12-27,36000000
2011-01-03,35450000
2011-01-10,35630000
2011-01-17,35260000
2011-01-24,35140000
2011-01-31,35540000
2011-02-07,35960000
2011-02-14,37580000
2011-02-21,37680000
2011-02-28,37640000
2011-03-07,36950000
2011-03-14,37150000
2011-03-21,36990000
2011-03-28,36980000
2011-04-04,37200000
2011-04-11,37190000
2011-04-18,37580000
2011-04-25,37790000
2011-05-02,37380000
2011-05-09,37520000
2011-05-16,37430000
2011-05-23,37610000
2011-05-30,37780000
2011-06-06,38010000
2011-06-13,37910000
2011-06-20,37890000
2011-06-27,37650000
2011-07-04,37820000
2011-07-11,38920000
2011-07-18,39320000
2011-07-25,40000000
2011-08-01,41500000
2011-08-08,44750000
2011-08-15,47250000
2011-08-22,46950000
2011-08-29,46650000
2011-09-05,47650000
2011-09-12,46650000
2011-09-19,46650000
2011-09-26,44200000
2011-10-03,43450000
2011-10-10,44150000
2011-10-17,43500000
2011-10-24,45250000
2011-10-31,45700000
2011-11-07,46150000
2011-11-14,45950000
2011-11-21,44450000
2011-11-28,45280000
2011-12-05,44820000
2011-12-12,43750000
2011-12-19,43550000
2011-12-26,41800000
2012-01-02,43500000
2012-01-09,43750000
2012-01-16,44550000
2012-01-23,44800000
2012-01-30,45400000
2012-02-06,44750000
2012-02-13,44750000
2012-02-20,45240000
2012-02-27,44750000
2012-03-05,44690000
2012-03-12,44270000
2012-03-19,43880000
2012-03-26,44000000
2012-04-02,43540000
2012-04-09,43380000
2012-04-16,42580000
2012-04-23,42950000
2012-04-30,42400000
2012-05-07,41750000
2012-05-14,41950000
2012-05-21,41450000
2012-05-28,41330000
2012-06-04,41860000
2012-06-11,42250000
2012-06-18,41820000
2012-06-25,41720000
2012-07-02,41880000
2012-07-09,41800000
2012-07-16,41780000
2012-07-23,42130000
2012-07-30,41970000
2012-08-06,42270000
2012-08-13,42540000
