date,stoxx
1/17/2000,368.38
1/24/2000,377.37
1/31/2000,381.41
2/7/2000,378.76
2/14/2000,385.34
2/21/2000,402.57
2/28/2000,402.26
3/6/2000,393.74
3/13/2000,402.36
3/20/2000,394.1
3/27/2000,393.39
4/3/2000,374.04
4/10/2000,381.36
4/17/2000,392.62
4/24/2000,395.34
5/1/2000,389
5/8/2000,375.78
5/15/2000,369.86
5/22/2000,394.83
5/29/2000,386.76
6/5/2000,385.49
6/12/2000,383.43
6/19/2000,376.74
6/26/2000,386.85
7/3/2000,391.82
7/10/2000,389.04
7/17/2000,379.83
7/24/2000,382.47
7/31/2000,389.28
8/7/2000,391.05
8/14/2000,391.71
8/21/2000,400.84
8/28/2000,395.47
9/4/2000,388.39
9/11/2000,376.19
9/18/2000,377.44
9/25/2000,380.45
10/2/2000,370.85
10/9/2000,377.5
10/16/2000,384.55
10/23/2000,386.52
10/30/2000,377.68
11/6/2000,380.39
11/13/2000,375.94
11/20/2000,366.97
11/27/2000,371.38
12/4/2000,361.67
12/11/2000,353.12
12/18/2000,359.79
12/25/2000,355.1
1/1/2001,353.85
1/8/2001,357.19
1/15/2001,361.36
1/22/2001,356.86
1/29/2001,350.29
2/5/2001,347.37
2/12/2001,333.86
2/19/2001,332.38
2/26/2001,334.74
3/5/2001,316.83
3/12/2001,307.14
3/19/2001,321.7
3/26/2001,316.68
4/2/2001,329.75
4/9/2001,333.21
4/16/2001,338.71
4/23/2001,336.17
4/30/2001,340.96
5/7/2001,346.09
5/14/2001,346
5/21/2001,341.57
5/28/2001,341.76
6/4/2001,327.89
6/11/2001,326.2
6/18/2001,329.35
6/25/2001,318.37
7/2/2001,317.17
7/9/2001,310.52
7/16/2001,310
7/23/2001,315.16
7/30/2001,303.19
8/6/2001,297.92
8/13/2001,305.61
8/20/2001,297.66
8/27/2001,281.17
9/3/2001,255.18
9/10/2001,235.9
9/17/2001,266.29
9/24/2001,270.51
10/1/2001,278.26
10/8/2001,273.11
10/15/2001,285.69
10/22/2001,280.35
10/29/2001,291.34
11/5/2001,296.91
11/12/2001,296.74
11/19/2001,288.95
11/26/2001,298.07
12/3/2001,283.72
12/10/2001,291.39
12/17/2001,298.73
12/24/2001,300.57
12/31/2001,294.61
1/7/2002,290.25
1/14/2002,293.51
1/21/2002,293.46
1/28/2002,284.34
2/4/2002,289.7
2/11/2002,280.89
2/18/2002,292.94
2/25/2002,301.36
3/4/2002,299.74
3/11/2002,300.32
3/18/2002,303.03
3/25/2002,298
4/1/2002,293.8
4/8/2002,298.54
4/15/2002,289.88
4/22/2002,287.54
4/29/2002,285.84
5/6/2002,289.26
5/13/2002,284.28
5/20/2002,279.03
5/27/2002,265.62
6/3/2002,253.3
6/10/2002,249.15
6/17/2002,254.04
6/24/2002,254.82
7/1/2002,234.86
7/8/2002,222.54
7/15/2002,215.1
7/22/2002,217.82
7/29/2002,228.56
8/5/2002,227.94
8/12/2002,234.58
8/19/2002,226.82
8/26/2002,220.22
9/2/2002,215.08
9/9/2002,202.26
9/16/2002,204.19
9/23/2002,196.44
9/30/2002,202.72
10/7/2002,215.06
10/14/2002,211.07
10/21/2002,210.47
10/28/2002,209.88
11/4/2002,214.59
11/11/2002,222.3
11/18/2002,222.47
11/25/2002,213.21
12/2/2002,205.63
12/9/2002,205.67
12/16/2002,199.83
12/23/2002,210.38
12/30/2002,207.82
1/6/2003,200.93
1/13/2003,189.62
1/20/2003,189
1/27/2003,183.77
2/3/2003,185.29
2/10/2003,186.06
2/17/2003,181.75
2/24/2003,171.77
3/3/2003,178.72
3/10/2003,192.45
3/17/2003,182.71
3/24/2003,188.31
3/31/2003,189.63
4/7/2003,193.71
4/14/2003,191.62
4/21/2003,195.16
4/28/2003,193.64
5/5/2003,197.51
5/12/2003,191.27
5/19/2003,196.54
5/26/2003,204.41
6/2/2003,203.6
