date,dxy
1/17/2000,104.48
1/24/2000,104.29
1/31/2000,104.19
2/7/2000,104.63
2/14/2000,105.26
2/21/2000,106
2/28/2000,105.71
3/6/2000,105.2
3/13/2000,104.77
3/20/2000,105.44
3/27/2000,105.97
4/3/2000,105.75
4/10/2000,107.45
4/17/2000,110.14
4/24/2000,111.31
5/1/2000,109.9
5/8/2000,111.47
5/15/2000,109.12
5/22/2000,108.12
5/29/2000,106.99
6/5/2000,105.96
6/12/2000,108.01
6/19/2000,106.84
6/26/2000,107.65
7/3/2000,108.45
7/10/2000,108.42
7/17/2000,109.74
7/24/2000,110.85
7/31/2000,111.21
8/7/2000,111.01
8/14/2000,111.35
8/21/2000,111.42
8/28/2000,114.34
9/4/2000,115.94
9/11/2000,113.56
9/18/2000,113.25
9/25/2000,114.85
10/2/2000,115.86
10/9/2000,117.16
10/16/2000,117.39
10/23/2000,114.97
10/30/2000,115.79
11/6/2000,117.31
11/13/2000,118.48
11/20/2000,114.73
11/27/2000,114.05
12/4/2000,112.9
12/11/2000,110.82
12/18/2000,109.56
12/25/2000,108.42
1/1/2001,109.36
1/8/2001,110.66
1/15/2001,111.46
1/22/2001,110.32
1/29/2001,111.52
2/5/2001,112.26
2/12/2001,112.03
2/19/2001,111.17
2/26/2001,111.44
3/5/2001,115.32
3/12/2001,115.94
3/19/2001,117.37
3/26/2001,114.75
4/2/2001,115.54
4/9/2001,114.32
4/16/2001,115.62
4/23/2001,114.93
4/30/2001,116.84
5/7/2001,116.41
5/14/2001,118.18
5/21/2001,118.89
5/28/2001,119.21
6/4/2001,118.29
6/11/2001,118.91
6/18/2001,119.43
6/25/2001,119.9
7/2/2001,119.33
7/9/2001,117.21
7/16/2001,116.94
7/23/2001,116.14
7/30/2001,115.29
8/6/2001,112.99
8/13/2001,113.33
8/20/2001,113.42
8/27/2001,114.05
9/3/2001,114.57
9/10/2001,113.04
9/17/2001,113.48
9/24/2001,112.91
10/1/2001,113.89
10/8/2001,114.86
10/15/2001,115.65
10/22/2001,114.54
10/29/2001,115.09
11/5/2001,116.41
11/12/2001,117.33
11/19/2001,116.13
11/26/2001,116.15
12/3/2001,114.93
12/10/2001,116.98
12/17/2001,117.26
12/24/2001,116.33
12/31/2001,116.64
1/7/2002,117.51
1/14/2002,119.85
1/21/2002,119.79
1/28/2002,118.98
2/4/2002,118.6
2/11/2002,118.48
2/18/2002,119.4
2/25/2002,117.99
3/4/2002,117.22
3/11/2002,118.05
3/18/2002,118.62
3/25/2002,117.69
4/1/2002,117.74
4/8/2002,116.29
4/15/2002,115.04
4/22/2002,113.59
4/29/2002,113.95
5/6/2002,113
5/13/2002,112.8
5/20/2002,111.81
5/27/2002,110.99
6/3/2002,110.76
6/10/2002,108.19
6/17/2002,106.11
6/24/2002,107.67
7/1/2002,105.89
7/8/2002,104.06
7/15/2002,106.61
7/22/2002,106.67
7/29/2002,108.21
8/5/2002,106.72
8/12/2002,107.97
8/19/2002,106.98
8/26/2002,106.84
9/2/2002,108.06
9/9/2002,107.53
9/16/2002,107.53
9/23/2002,107.6
9/30/2002,107.25
10/7/2002,108.52
10/14/2002,107.92
10/21/2002,106.08
10/28/2002,104.5
11/4/2002,105.04
11/11/2002,106.12
11/18/2002,106.41
11/25/2002,105.36
12/2/2002,103.98
12/9/2002,103.46
12/16/2002,102.41
12/23/2002,102.47
12/30/2002,101.23
1/6/2003,100.55
1/13/2003,99.22
1/20/2003,99.91
1/27/2003,99.57
2/3/2003,100.04
2/10/2003,100.09
2/17/2003,99.71
2/24/2003,98.04
3/3/2003,99.99
3/10/2003,101.92
3/17/2003,99.96
3/24/2003,100.45
3/31/2003,100.18
4/7/2003,99.3
4/14/2003,98.36
4/21/2003,96.76
4/28/2003,94.98
5/5/2003,94.08
5/12/2003,93.05
5/19/2003,93.27
5/26/2003,93.48
6/2/2003,92.22
6/9/2003,94.04
6/16/2003,95.15
6/23/2003,94.55
6/30/2003,95.8
7/7/2003,96.86
7/14/2003,94.96
7/21/2003,96.66
7/28/2003,96.36
8/4/2003,96.65
8/11/2003,98.83
8/18/2003,98.1
8/25/2003,97.09
9/1/2003,96.01
9/8/2003,94.96
9/15/2003,93.87
9/22/2003,93.23
9/29/2003,91.52
10/6/2003,92.29
10/13/2003,91.28
10/20/2003,92.73
10/27/2003,93.02
11/3/2003,91.44
11/10/2003,90.6
11/17/2003,90.21
11/24/2003,89.14
12/1/2003,88.49
12/8/2003,88.11
12/15/2003,87.63
12/22/2003,86.92
12/29/2003,85.11
1/5/2004,87.73
1/12/2004,86.56
1/19/2004,87.2
1/26/2004,86.02
2/2/2004,85.56
2/9/2004,87.24
2/16/2004,87.31
2/23/2004,88.18
3/1/2004,89.12
3/8/2004,88.16
3/15/2004,88.89
3/22/2004,88.51
3/29/2004,89.02
4/5/2004,89.94
4/12/2004,91.08
