date,gspc
1/17/2000,1360.20
1/24/2000,1424.40
1/31/2000,1387.10
2/7/2000,1346.10
2/14/2000,1333.40
2/21/2000,1409.20
2/28/2000,1395.10
3/6/2000,1464.50
3/13/2000,1527.50
3/20/2000,1498.60
3/27/2000,1516.30
4/3/2000,1356.60
4/10/2000,1434.50
4/17/2000,1452.40
4/24/2000,1432.60
5/1/2000,1421.00
5/8/2000,1407.00
5/15/2000,1378.00
5/22/2000,1477.30
5/29/2000,1457.00
6/5/2000,1464.50
6/12/2000,1441.50
6/19/2000,1454.60
6/26/2000,1478.90
7/3/2000,1510.00
7/10/2000,1480.20
7/17/2000,1419.90
7/24/2000,1462.90
7/31/2000,1471.80
8/7/2000,1491.70
8/14/2000,1506.50
8/21/2000,1520.80
8/28/2000,1494.50
9/4/2000,1465.80
9/11/2000,1448.70
9/18/2000,1436.50
9/25/2000,1409.00
10/2/2000,1374.20
10/9/2000,1396.90
10/16/2000,1379.60
10/23/2000,1426.70
10/30/2000,1366.00
11/6/2000,1367.70
11/13/2000,1341.80
11/20/2000,1315.20
11/27/2000,1369.90
12/4/2000,1312.20
12/11/2000,1306.00
12/18/2000,1320.30
12/25/2000,1298.30
1/1/2001,1318.30
1/8/2001,1342.50
1/15/2001,1355.00
1/22/2001,1349.50
1/29/2001,1314.80
2/5/2001,1301.50
2/12/2001,1245.90
2/19/2001,1234.20
2/26/2001,1233.40
3/5/2001,1150.50
3/12/2001,1139.80
3/19/2001,1160.30
3/26/2001,1128.40
4/2/2001,1183.50
4/9/2001,1243.00
4/16/2001,1253.00
4/23/2001,1266.60
4/30/2001,1245.70
5/7/2001,1292.00
5/14/2001,1277.90
5/21/2001,1260.70
5/28/2001,1265.00
6/4/2001,1214.40
6/11/2001,1225.30
6/18/2001,1224.40
6/25/2001,1190.60
7/2/2001,1215.70
7/9/2001,1210.80
7/16/2001,1205.80
7/23/2001,1214.30
7/30/2001,1190.20
8/6/2001,1162.00
8/13/2001,1184.90
8/20/2001,1133.60
8/27/2001,1085.80
9/3/2001,1092.50
9/10/2001,965.80
9/17/2001,1040.90
9/24/2001,1071.40
10/1/2001,1091.70
10/8/2001,1073.50
10/15/2001,1104.60
10/22/2001,1087.20
10/29/2001,1120.30
11/5/2001,1138.70
11/12/2001,1150.30
11/19/2001,1139.50
11/26/2001,1158.30
12/3/2001,1123.10
12/10/2001,1144.90
12/17/2001,1161.00
12/24/2001,1172.50
12/31/2001,1145.60
1/7/2002,1127.60
1/14/2002,1133.30
1/21/2002,1122.20
1/28/2002,1096.20
2/4/2002,1104.20
2/11/2002,1089.80
2/18/2002,1131.80
2/25/2002,1164.30
3/4/2002,1166.20
3/11/2002,1148.70
3/18/2002,1147.40
3/25/2002,1122.70
4/1/2002,1111.00
4/8/2002,1125.20
4/15/2002,1076.30
4/22/2002,1073.40
4/29/2002,1055.00
5/6/2002,1106.60
5/13/2002,1083.80
5/20/2002,1067.10
5/27/2002,1027.50
6/3/2002,1007.30
6/10/2002,989.10
6/17/2002,989.80
6/24/2002,989.00
7/1/2002,921.40
7/8/2002,847.80
7/15/2002,852.80
7/22/2002,864.20
7/29/2002,908.60
8/5/2002,928.80
8/12/2002,940.90
8/19/2002,916.10
8/26/2002,893.90
9/2/2002,889.80
9/9/2002,845.40
9/16/2002,827.40
9/23/2002,800.60
9/30/2002,835.30
10/7/2002,884.40
10/14/2002,897.60
10/21/2002,901.00
10/28/2002,894.70
11/4/2002,909.80
11/11/2002,930.50
11/18/2002,936.30
11/25/2002,912.20
12/2/2002,889.50
12/9/2002,895.80
12/16/2002,875.40
12/23/2002,908.60
12/30/2002,927.60
1/6/2003,901.80
1/13/2003,861.40
1/20/2003,855.70
1/27/2003,829.70
2/3/2003,834.90
2/10/2003,848.20
2/17/2003,841.10
2/24/2003,828.90
3/3/2003,833.30
3/10/2003,895.80
3/17/2003,863.50
3/24/2003,878.90
3/31/2003,868.30
4/7/2003,893.60
4/14/2003,898.80
4/21/2003,930.10
4/28/2003,933.40
5/5/2003,944.30
5/12/2003,933.20
5/19/2003,963.60
5/26/2003,987.80
6/2/2003,988.60
6/9/2003,995.70
6/16/2003,976.20
6/23/2003,985.70
6/30/2003,998.10
7/7/2003,993.30
7/14/2003,998.70
7/21/2003,980.10
7/28/2003,977.60
8/4/2003,990.70
8/11/2003,993.10
8/18/2003,1008.00
8/25/2003,1021.40
9/1/2003,1018.60
9/8/2003,1036.30
9/15/2003,996.90
9/22/2003,1029.80
9/29/2003,1038.10
10/6/2003,1039.30
10/13/2003,1028.90
10/20/2003,1050.70
10/27/2003,1053.20
11/3/2003,1050.30
11/10/2003,1035.30
11/17/2003,1058.20
11/24/2003,1061.50
12/1/2003,1074.10
12/8/2003,1088.70
12/15/2003,1095.90
12/22/2003,1108.50
12/29/2003,1121.90
1/5/2004,1139.80
1/12/2004,1141.50
1/19/2004,1131.10
1/26/2004,1142.80
2/2/2004,1145.80
2/9/2004,1144.10
2/16/2004,1144.90
2/23/2004,1156.90
3/1/2004,1120.60
3/8/2004,1109.80
3/15/2004,1108.10
3/22/2004,1141.80
3/29/2004,1139.30
4/5/2004,1134.60
4/12/2004,1140.60
4/19/2004,1107.30
4/26/2004,1098.70
5/3/2004,1095.70
5/10/2004,1093.60
5/17/2004,1120.70
5/24/2004,1122.50
5/31/2004,1136.50
6/7/2004,1135.00
