date,sp500
2000-01-17,1360.2
2000-01-24,1424.4
2000-01-31,1387.1
2000-02-07,1346.1
2000-02-14,1333.4
2000-02-21,1409.2
2000-02-28,1395.1
2000-03-06,1464.5
2000-03-13,1527.5
2000-03-20,1498.6
2000-03-27,1516.3
2000-04-03,1356.6
2000-04-10,1434.5
2000-04-17,1452.4
2000-04-24,1432.6
2000-05-01,1421.0
2000-05-08,1407.0
2000-05-15,1378.0
2000-05-22,1477.3
2000-05-29,1457.0
2000-06-05,1464.5
2000-06-12,1441.5
2000-06-19,1454.6
2000-06-26,1478.9
2000-07-03,1510.0
2000-07-10,1480.2
2000-07-17,1419.9
2000-07-24,1462.9
2000-07-31,1471.8
2000-08-07,1491.7
2000-08-14,1506.5
2000-08-21,1520.8
2000-08-28,1494.5
2000-09-04,1465.8
2000-09-11,1448.7
2000-09-18,1436.5
2000-09-25,1409.0
2000-10-02,1374.2
2000-10-09,1396.9
2000-10-16,1379.6
2000-10-23,1426.7
2000-10-30,1366.0
2000-11-06,1367.7
2000-11-13,1341.8
2000-11-20,1315.2
2000-11-27,1369.9
2000-12-04,1312.2
2000-12-11,1306.0
2000-12-18,1320.3
2000-12-25,1298.3
2001-01-01,1318.3
2001-01-08,1342.5
2001-01-15,1355.0
2001-01-22,1349.5
2001-01-29,1314.8
2001-02-05,1301.5
2001-02-12,1245.9
2001-02-19,1234.2
2001-02-26,1233.4
2001-03-05,1150.5
2001-03-12,1139.8
2001-03-19,1160.3
2001-03-26,1128.4
2001-04-02,1183.5
2001-04-09,1243.0
2001-04-16,1253.0
2001-04-23,1266.6
2001-04-30,1245.7
2001-05-07,1292.0
2001-05-14,1277.9
2001-05-21,1260.7
2001-05-28,1265.0
2001-06-04,1214.4
2001-06-11,1225.3
2001-06-18,1224.4
2001-06-25,1190.6
2001-07-02,1215.7
2001-07-09,1210.8
2001-07-16,1205.8
2001-07-23,1214.3
2001-07-30,1190.2
2001-08-06,1162.0
2001-08-13,1184.9
2001-08-20,1133.6
2001-08-27,1085.8
2001-09-03,1092.5
2001-09-10,965.8
2001-09-17,1040.9
2001-09-24,1071.4
2001-10-01,1091.7
2001-10-08,1073.5
2001-10-15,1104.6
2001-10-22,1087.2
2001-10-29,1120.3
2001-11-05,1138.7
2001-11-12,1150.3
2001-11-19,1139.5
2001-11-26,1158.3
2001-12-03,1123.1
2001-12-10,1144.9
2001-12-17,1161.0
2001-12-24,1172.5
2001-12-31,1145.6
2002-01-07,1127.6
2002-01-14,1133.3
2002-01-21,1122.2
2002-01-28,1096.2
2002-02-04,1104.2
2002-02-11,1089.8
2002-02-18,1131.8
2002-02-25,1164.3
2002-03-04,1166.2
2002-03-11,1148.7
2002-03-18,1147.4
2002-03-25,1122.7
2002-04-01,1111.0
2002-04-08,1125.2
2002-04-15,1076.3
2002-04-22,1073.4
2002-04-29,1055.0
2002-05-06,1106.6
2002-05-13,1083.8
2002-05-20,1067.1
2002-05-27,1027.5
2002-06-03,1007.3
2002-06-10,989.1
2002-06-17,989.8
2002-06-24,989.0
2002-07-01,921.4
2002-07-08,847.8
2002-07-15,852.8
2002-07-22,864.2
2002-07-29,908.6
2002-08-05,928.8
2002-08-12,940.9
2002-08-19,916.1
2002-08-26,893.9
2002-09-02,889.8
2002-09-09,845.4
2002-09-16,827.4
2002-09-23,800.6
2002-09-30,835.3
2002-10-07,884.4
2002-10-14,897.6
2002-10-21,901.0
2002-10-28,894.7
2002-11-04,909.8
2002-11-11,930.5
2002-11-18,936.3
2002-11-25,912.2
2002-12-02,889.5
2002-12-09,895.8
2002-12-16,875.4
2002-12-23,908.6
2002-12-30,927.6
2003-01-06,901.8
2003-01-13,861.4
2003-01-20,855.7
2003-01-27,829.7
2003-02-03,834.9
