date,us3m
1981-08-31,16.64
1981-09-07,15.76
1981-09-14,15.07
1981-09-21,15.02
1981-09-28,15.4
1981-10-05,13.96
1981-10-12,14.18
1981-10-19,13.87
1981-10-26,13.33
1981-11-02,12.21
1981-11-09,11.32
1981-11-16,10.51
1981-11-23,10.58
1981-11-30,10.29
1981-12-07,11.33
1981-12-14,11.33
1981-12-21,11.57
1981-12-28,11.54
1982-01-04,11.98
1982-01-11,12.74
1982-01-18,13.63
1982-01-25,13.08
1982-02-01,14.63
1982-02-08,15.06
1982-02-15,14.17
1982-02-22,13.0
1982-03-01,12.86
1982-03-08,13.4
1982-03-15,13.69
1982-03-22,13.69
1982-03-29,13.95
1982-04-05,13.74
1982-04-12,13.21
1982-04-19,12.99
1982-04-26,13.15
1982-05-03,13.02
1982-05-10,12.92
1982-05-17,11.99
1982-05-24,11.97
1982-05-31,12.78
1982-06-07,12.55
1982-06-14,13.31
1982-06-21,13.87
1982-06-28,13.36
1982-07-05,12.29
1982-07-12,11.68
1982-07-19,10.73
1982-07-26,10.57
1982-08-02,10.71
1982-08-09,9.6
1982-08-16,7.31
1982-08-23,8.1
1982-08-30,8.46
1982-09-06,8.66
1982-09-13,8.23
1982-09-20,7.85
1982-09-27,7.6
1982-10-04,8.0
1982-10-11,7.8
1982-10-18,7.88
1982-10-25,8.17
1982-11-01,8.04
1982-11-08,8.56
1982-11-15,8.38
1982-11-22,8.19
1982-11-29,8.1
1982-12-06,8.31
1982-12-13,8.13
1982-12-20,8.18
1982-12-27,8.2
1983-01-03,8.02
1983-01-10,7.79
1983-01-17,8.29
1983-01-24,8.26
1983-01-31,8.52
1983-02-07,8.42
1983-02-14,8.26
1983-02-21,8.08
1983-02-28,8.29
1983-03-07,8.56
1983-03-14,8.74
1983-03-21,9.0
1983-03-28,8.96
1983-04-04,8.63
1983-04-11,8.43
1983-04-18,8.44
1983-04-25,8.38
1983-05-02,8.26
1983-05-09,8.3
1983-05-16,8.48
1983-05-23,8.8
1983-05-30,8.87
1983-06-06,9.11
1983-06-13,9.01
1983-06-20,9.42
1983-06-27,9.05
1983-07-04,9.48
1983-07-11,9.59
1983-07-18,9.45
1983-07-25,9.59
1983-08-01,9.83
1983-08-08,9.9
1983-08-15,9.7
1983-08-22,9.54
1983-08-29,9.63
1983-09-05,9.54
1983-09-12,9.43
1983-09-19,9.22
1983-09-26,9.04
1983-10-03,8.94
1983-10-10,9.12
1983-10-17,8.87
1983-10-24,8.96
1983-10-31,9.14
1983-11-07,9.09
1983-11-14,9.2
1983-11-21,9.12
1983-11-28,9.28
1983-12-05,9.34
1983-12-12,9.47
1983-12-19,9.32
1983-12-26,9.33
1984-01-02,9.22
1984-01-09,9.08
1984-01-16,9.32
1984-01-23,9.28
1984-01-30,9.32
1984-02-06,9.43
1984-02-13,9.53
1984-02-20,9.54
1984-02-27,9.5
1984-03-05,9.77
1984-03-12,9.87
1984-03-19,10.15
1984-03-26,10.09
1984-04-02,10.05
1984-04-09,10.11
1984-04-16,10.1
1984-04-23,10.08
1984-04-30,10.25
1984-05-07,10.4
1984-05-14,10.19
1984-05-21,9.94
1984-05-28,10.18
1984-06-04,10.25
1984-06-11,10.27
1984-06-18,10.23
1984-06-25,10.31
1984-07-02,10.4
1984-07-09,10.36
1984-07-16,10.59
1984-07-23,10.7
1984-07-30,10.9
1984-08-06,10.86
1984-08-13,10.75
1984-08-20,10.91
1984-08-27,11.06
1984-09-03,10.99
1984-09-10,10.79
1984-09-17,10.67
1984-09-24,10.63
1984-10-01,10.55
1984-10-08,10.3
1984-10-15,9.93
1984-10-22,9.71
1984-10-29,9.34
1984-11-05,8.94
1984-11-12,8.9
1984-11-19,8.75
1984-11-26,8.74
1984-12-03,8.64
1984-12-10,8.39
1984-12-17,8.03
1984-12-24,8.0
1984-12-31,8.08
1985-01-07,8.02
1985-01-14,8.0
1985-01-21,7.89
1985-01-28,8.47
1985-02-04,8.51
1985-02-11,8.47
1985-02-18,8.68
1985-02-25,8.98
1985-03-04,8.89
1985-03-11,8.71
1985-03-18,8.82
1985-03-25,8.47
1985-04-01,8.41
1985-04-08,8.33
1985-04-15,8.06
1985-04-22,8.08
1985-04-29,7.99
1985-05-06,8.0
1985-05-13,7.64
1985-05-20,7.42
1985-05-27,7.38
1985-06-03,7.39
1985-06-10,6.91
1985-06-17,7.27
1985-06-24,7.05
1985-07-01,6.99
1985-07-08,7.32
1985-07-15,7.42
1985-07-22,7.43
1985-07-29,7.55
1985-08-05,7.4
1985-08-12,7.34
1985-08-19,7.27
1985-08-26,7.38
1985-09-02,7.5
1985-09-09,7.45
1985-09-16,7.24
1985-09-23,7.16
1985-09-30,7.22
1985-10-07,7.43
1985-10-14,7.44
1985-10-21,7.48
1985-10-28,7.44
1985-11-04,7.46
1985-11-11,7.59
1985-11-18,7.47
1985-11-25,7.39
1985-12-02,7.48
1985-12-09,7.2
1985-12-16,7.27
1985-12-23,7.18
