date,us_core_cpi
1956-12-31,28.5
1957-01-28,28.6
1957-02-25,28.7
1957-04-01,28.8
1957-04-29,28.8
1957-05-27,28.9
1957-07-01,29.0
1957-07-29,29.0
1957-08-26,29.1
1957-09-30,29.2
1957-10-28,29.3
1957-11-25,29.3
1957-12-30,29.3
1958-01-27,29.4
1958-02-24,29.5
1958-03-31,29.5
1958-04-28,29.5
1958-05-26,29.6
1958-06-30,29.6
1958-07-28,29.6
1958-09-01,29.7
1958-09-29,29.7
1958-10-27,29.8
1958-12-01,29.9
1958-12-29,29.9
1959-01-26,29.9
1959-02-23,30.0
1959-03-30,30.0
1959-04-27,30.1
1959-06-01,30.2
1959-06-29,30.2
1959-07-27,30.2
1959-08-31,30.3
1959-09-28,30.4
1959-10-26,30.4
1959-11-30,30.5
1959-12-28,30.5
1960-02-01,30.6
1960-02-29,30.6
1960-03-28,30.6
1960-04-25,30.6
1960-05-30,30.7
1960-06-27,30.6
1960-08-01,30.6
1960-08-29,30.6
1960-09-26,30.8
1960-10-31,30.8
1960-11-28,30.7
1960-12-26,30.8
1961-01-30,30.8
1961-02-27,30.9
1961-03-27,30.9
1961-05-01,30.9
1961-05-29,31.0
1961-06-26,31.0
1961-07-31,31.1
1961-08-28,31.1
1961-09-25,31.1
1961-10-30,31.2
1961-11-27,31.2
1962-01-01,31.2
1962-01-29,31.2
1962-02-26,31.3
1962-03-26,31.3
1962-04-30,31.4
1962-05-28,31.4
1962-06-25,31.4
1962-07-30,31.5
1962-08-27,31.5
1962-10-01,31.5
1962-10-29,31.5
1962-11-26,31.6
1962-12-31,31.5
1963-01-28,31.6
1963-02-25,31.7
1963-04-01,31.7
1963-04-29,31.7
1963-05-27,31.8
1963-07-01,31.8
1963-07-29,31.9
1963-08-26,31.9
1963-09-30,32.0
1963-10-28,32.0
1963-11-25,32.1
1963-12-30,32.2
1964-01-27,32.2
1964-02-24,32.2
1964-03-30,32.2
1964-04-27,32.2
1964-06-01,32.3
1964-06-29,32.3
1964-07-27,32.3
1964-08-31,32.3
1964-09-28,32.4
1964-10-26,32.5
1964-11-30,32.5
1964-12-28,32.6
1965-02-01,32.6
1965-03-01,32.6
1965-03-29,32.7
1965-04-26,32.7
1965-05-31,32.7
1965-06-28,32.7
1965-07-26,32.7
1965-08-30,32.8
1965-09-27,32.8
1965-11-01,32.9
1965-11-29,33.0
1965-12-27,33.0
1966-01-31,33.1
1966-02-28,33.1
1966-03-28,33.3
1966-04-25,33.4
1966-05-30,33.5
1966-06-27,33.6
1966-08-01,33.7
1966-08-29,33.8
1966-09-26,34.0
1966-10-31,34.0
1966-11-28,34.1
1966-12-26,34.2
1967-01-30,34.2
1967-02-27,34.3
1967-03-27,34.4
1967-05-01,34.5
1967-05-29,34.6
1967-06-26,34.7
1967-07-31,34.9
1967-08-28,35.0
1967-09-25,35.1
1967-10-30,35.2
1967-11-27,35.4
1968-01-01,35.5
1968-01-29,35.7
1968-02-26,35.8
1968-04-01,35.9
1968-04-29,36.0
1968-05-27,36.2
1968-07-01,36.4
1968-07-29,36.5
1968-08-26,36.7
1968-09-30,36.9
1968-10-28,37.1
1968-11-25,37.2
1968-12-30,37.3
1969-01-27,37.6
1969-02-24,37.8
1969-03-31,38.1
1969-04-28,38.1
1969-05-26,38.3
1969-06-30,38.5
1969-07-28,38.7
1969-09-01,38.9
1969-09-29,39.1
1969-10-27,39.2
1969-12-01,39.4
1969-12-29,39.6
1970-01-26,39.8
1970-02-23,40.1
1970-03-30,40.4
1970-04-27,40.5
1970-06-01,40.8
1970-06-29,40.9
1970-07-27,41.1
1970-08-31,41.3
1970-09-28,41.5
1970-10-26,41.8
1970-11-30,42.0
1970-12-28,42.1
1971-02-01,42.2
1971-03-01,42.2
1971-03-29,42.4
1971-04-26,42.6
1971-05-31,42.8
1971-06-28,42.9
1971-07-26,43.0
1971-08-30,43.0
1971-09-27,43.1
1971-11-01,43.2
1971-11-29,43.3
1971-12-27,43.5
1972-01-31,43.6
1972-02-28,43.6
1972-03-27,43.8
1972-05-01,43.9
1972-05-29,44.0
1972-06-26,44.1
1972-07-31,44.3
1972-08-28,44.3
1972-09-25,44.4
1972-10-30,44.4
1972-11-27,44.6
1973-01-01,44.6
1973-01-29,44.8
1973-02-26,45.0
1973-03-26,45.1
1973-04-30,45.3
1973-05-28,45.4
1973-06-25,45.5
1973-07-30,45.7
1973-08-27,46.0
1973-10-01,46.3
1973-10-29,46.5
1973-11-26,46.7
1973-12-31,46.9
1974-01-28,47.2
1974-02-25,47.6
1974-04-01,47.9
1974-04-29,48.5
1974-05-27,49.0
1974-07-01,49.5
1974-07-29,50.2
1974-08-26,50.7
1974-09-30,51.2
1974-10-28,51.6
1974-11-25,52.0
1974-12-30,52.3
1975-01-27,52.8
1975-02-24,53.0
1975-03-31,53.3
1975-04-28,53.5
1975-05-26,53.8
1975-06-30,54.0
1975-07-28,54.2
1975-09-01,54.5
1975-09-29,54.8
1975-10-27,55.2
1975-12-01,55.5
1975-12-29,55.9
1976-01-26,56.2
1976-03-01,56.5
1976-03-29,56.7
1976-04-26,57.0
1976-05-31,57.2
1976-06-28,57.6
1976-07-26,57.9
1976-08-30,58.2
1976-09-27,58.5
1976-11-01,58.7
1976-11-29,58.9
1976-12-27,59.3
1977-01-31,59.7
1977-02-28,60.0
1977-03-28,60.3
1977-04-25,60.6
1977-05-30,61.0
1977-06-27,61.2
1977-08-01,61.5
1977-08-29,61.8
1977-09-26,62.0
1977-10-31,62.3
1977-11-28,62.7
1977-12-26,63.1
1978-01-30,63.4
1978-02-27,63.8
1978-03-27,64.3
1978-05-01,64.7
1978-05-29,65.2
1978-06-26,65.6
1978-07-31,66.1
1978-08-28,66.7
1978-09-25,67.2
1978-10-30,67.6
1978-11-27,68.0
1979-01-01,68.5
1979-01-29,69.2
1979-02-26,69.8
1979-03-26,70.3
1979-04-30,70.8
1979-05-28,71.3
1979-06-25,71.9
1979-07-30,72.7
1979-08-27,73.3
1979-10-01,74.0
1979-10-29,74.8
1979-11-26,75.7
1979-12-31,76.7
1980-01-28,77.5
1980-02-25,78.6
1980-03-31,79.5
1980-04-28,80.1
1980-05-26,81.0
1980-06-30,80.8
1980-07-28,81.3
1980-09-01,82.1
1980-09-29,83.0
1980-10-27,83.9
1980-12-01,84.9
1980-12-29,85.4
1981-01-26,85.9
1981-02-23,86.4
1981-03-30,87.0
1981-04-27,87.8
1981-06-01,88.6
1981-06-29,89.8
1981-07-27,90.7
1981-08-31,91.8
1981-09-28,92.1
1981-10-26,92.5
1981-11-30,93.0
1981-12-28,93.3
1982-02-01,93.8
1982-03-01,93.9
1982-03-29,94.7
1982-04-26,95.4
1982-05-31,96.1
1982-06-28,96.7
1982-07-26,97.1
1982-08-30,97.2
1982-09-27,97.5
1982-11-01,97.3
1982-11-29,97.2
1982-12-27,97.6
1983-01-31,98.0
1983-02-28,98.2
1983-03-28,98.6
1983-04-25,98.9
1983-05-30,99.2
1983-06-27,99.8
1983-08-01,100.1
1983-08-29,100.5
1983-09-26,101.0
1983-10-31,101.5
