date,us_real_gdp
1946-12-30,2182.681
1947-03-31,2176.892
1947-06-30,2172.432
1947-09-29,2206.452
1947-12-29,2239.682
1948-03-29,2276.69
1948-06-28,2289.77
1948-09-27,2292.364
1948-12-27,2260.807
1949-03-28,2253.128
1949-06-27,2276.424
1949-09-26,2257.352
1949-12-26,2346.104
1950-03-27,2417.682
1950-06-26,2511.127
1950-09-25,2559.214
1951-01-01,2593.967
1951-03-26,2638.898
1951-06-25,2693.259
1951-10-01,2699.156
1951-12-31,2727.954
1952-03-31,2733.8
1952-06-30,2753.517
1952-09-29,2843.941
1952-12-29,2896.811
1953-03-30,2919.206
1953-06-29,2902.785
1953-09-28,2858.845
1953-12-28,2845.192
1954-03-29,2848.305
1954-06-28,2880.482
1954-09-27,2936.852
1954-12-27,3020.746
1955-03-28,3069.91
1955-06-27,3111.379
1955-09-26,3130.068
1955-12-26,3117.922
1956-03-26,3143.694
1956-06-25,3140.874
1956-10-01,3192.57
1956-12-31,3213.011
1957-04-01,3205.97
1957-07-01,3237.386
1957-09-30,3203.894
1957-12-30,3120.724
1958-03-31,3141.224
1958-06-30,3213.884
1958-09-29,3289.032
1958-12-29,3352.129
1959-03-30,3427.667
1959-06-29,3430.057
1959-09-28,3439.832
1959-12-28,3517.181
1960-03-28,3498.246
1960-06-27,3515.385
1960-09-26,3470.278
1960-12-26,3493.703
1961-03-27,3553.021
1961-06-26,3621.252
1961-09-25,3692.289
1962-01-01,3758.147
1962-03-26,3792.149
1962-06-25,3838.776
1962-10-01,3851.421
1962-12-31,3893.482
1963-04-01,3937.183
1963-07-01,4023.755
1963-09-30,4050.147
1963-12-30,4135.553
1964-03-30,4180.592
1964-06-29,4245.918
1964-09-28,4259.046
1964-12-28,4362.111
1965-03-29,4417.225
1965-06-28,4515.427
1965-09-27,4619.458
1965-12-27,4731.888
1966-03-28,4748.046
1966-06-27,4788.254
1966-09-26,4827.537
1966-12-26,4870.299
1967-03-27,4873.287
1967-06-26,4919.392
1967-09-25,4956.477
1968-01-01,5057.553
1968-04-01,5142.033
1968-07-01,5181.859
1968-09-30,5202.212
1968-12-30,5283.597
1969-03-31,5299.625
1969-06-30,5334.6
1969-09-29,5308.556
1969-12-29,5300.652
1970-03-30,5308.164
1970-06-29,5357.077
1970-09-28,5299.672
1970-12-28,5443.619
1971-03-29,5473.059
1971-06-28,5518.072
1971-09-27,5531.032
1971-12-27,5632.649
1972-03-27,5760.47
1972-06-26,5814.854
1972-09-25,5912.22
1973-01-01,6058.544
1973-03-26,6124.506
