date,vix
2000-01-17,26.14
2000-01-24,21.54
2000-01-31,24.42
2000-02-07,26.0
2000-02-14,25.2
2000-02-21,19.21
2000-02-28,21.24
2000-03-06,22.37
2000-03-13,23.31
2000-03-20,24.11
2000-03-27,24.39
2000-04-03,33.49
2000-04-10,27.37
2000-04-17,26.2
2000-04-24,27.53
2000-05-01,26.05
2000-05-08,25.44
2000-05-15,24.47
2000-05-22,21.48
2000-05-29,22.14
2000-06-05,20.5
2000-06-12,22.34
2000-06-19,19.54
2000-06-26,20.33
2000-07-03,19.32
2000-07-10,18.94
2000-07-17,20.84
2000-07-24,18.62
2000-07-31,18.55
2000-08-07,17.05
2000-08-14,16.53
2000-08-21,17.53
2000-08-28,18.46
2000-09-04,18.52
2000-09-11,20.74
2000-09-18,20.57
2000-09-25,22.71
2000-10-02,27.6
2000-10-09,24.24
2000-10-16,26.47
2000-10-23,23.67
2000-10-30,28.53
2000-11-06,24.81
2000-11-13,26.93
2000-11-20,27.48
2000-11-27,22.41
2000-12-04,26.55
2000-12-11,27.55
2000-12-18,26.85
2000-12-25,28.67
2001-01-01,24.56
2001-01-08,23.24
2001-01-15,22.57
2001-01-22,21.95
2001-01-29,22.03
2001-02-05,22.12
2001-02-12,27.21
2001-02-19,27.43
2001-02-26,25.62
2001-03-05,29.91
2001-03-12,30.45
2001-03-19,28.64
2001-03-26,31.69
2001-04-02,26.33
2001-04-09,25.38
2001-04-16,24.02
2001-04-23,23.91
2001-04-30,23.54
2001-05-07,21.23
2001-05-14,20.6
2001-05-21,21.59
2001-05-28,19.92
2001-06-04,22.81
2001-06-11,20.02
2001-06-18,19.06
2001-06-25,22.48
2001-07-02,21.14
2001-07-09,22.34
2001-07-16,22.0
2001-07-23,19.89
2001-07-30,20.55
2001-08-06,23.84
2001-08-13,19.71
2001-08-20,24.92
2001-08-27,30.99
2001-09-03,43.74
2001-09-10,42.66
2001-09-17,31.93
2001-09-24,33.39
2001-10-01,35.27
2001-10-08,34.11
2001-10-15,28.42
2001-10-22,30.71
2001-10-29,27.44
2001-11-05,25.07
2001-11-12,23.79
2001-11-19,23.84
2001-11-26,23.49
2001-12-03,24.63
2001-12-10,22.5
2001-12-17,23.8
2001-12-24,21.94
2001-12-31,22.6
2002-01-07,22.52
2002-01-14,21.01
2002-01-21,21.12
2002-01-28,23.26
2002-02-04,22.37
2002-02-11,22.86
2002-02-18,19.96
2002-02-25,19.27
2002-03-04,18.42
2002-03-11,17.77
2002-03-18,18.73
2002-03-25,19.13
2002-04-01,19.42
2002-04-08,18.3
2002-04-15,22.14
2002-04-22,20.19
2002-04-29,22.41
2002-05-06,17.7
2002-05-13,18.9
2002-05-20,19.98
2002-05-27,23.51
2002-06-03,25.96
2002-06-10,27.23
2002-06-17,25.4
2002-06-24,28.25
2002-07-01,32.94
2002-07-08,38.17
2002-07-15,35.51
2002-07-22,41.29
2002-07-29,35.33
2002-08-05,28.81
2002-08-12,29.32
2002-08-19,32.64
2002-08-26,36.33
2002-09-02,35.82
2002-09-09,38.98
2002-09-16,36.97
2002-09-23,39.46
2002-09-30,35.7
2002-10-07,33.53
2002-10-14,30.0
2002-10-21,29.3
2002-10-28,29.41
2002-11-04,26.65
2002-11-11,23.16
2002-11-18,27.46
2002-11-25,28.88
2002-12-02,28.18
2002-12-09,26.71
2002-12-16,29.62
2002-12-23,24.91
2002-12-30,24.32
2003-01-06,25.7
2003-01-13,31.51
2003-01-20,31.17
2003-01-27,34.01
2003-02-03,32.62
2003-02-10,30.25
2003-02-17,29.63
2003-02-24,31.08
2003-03-03,30.98
2003-03-10,28.67
2003-03-17,27.75
2003-03-24,29.13
2003-03-31,24.44
2003-04-07,21.95
2003-04-14,20.8
2003-04-21,20.63
2003-04-28,19.69
2003-05-05,18.4
2003-05-12,19.17
2003-05-19,19.47
2003-05-26,21.25
2003-06-02,20.66
2003-06-09,19.14
2003-06-16,19.16
2003-06-23,20.06
2003-06-30,18.47
2003-07-07,19.11
2003-07-14,17.75
2003-07-21,20.75
2003-07-28,19.59
2003-08-04,18.27
2003-08-11,18.55
2003-08-18,18.63
2003-08-25,18.17
2003-09-01,18.68
2003-09-08,17.54
2003-09-15,22.23
2003-09-22,19.5
2003-09-29,18.45
2003-10-06,17.62
2003-10-13,17.71
2003-10-20,16.1
2003-10-27,16.93
2003-11-03,16.94
2003-11-10,18.98
2003-11-17,16.32
2003-11-24,17.09
2003-12-01,16.41
2003-12-08,16.42
2003-12-15,17.45
2003-12-22,17.49
2003-12-29,16.75
2004-01-05,15.0
2004-01-12,14.84
2004-01-19,16.63
2004-01-26,16.0
2004-02-02,15.58
2004-02-09,16.04
2004-02-16,14.55
2004-02-23,14.48
2004-03-01,18.3
2004-03-08,19.15
2004-03-15,17.33
2004-03-22,15.64
2004-03-29,15.28
2004-04-05,14.94
2004-04-12,14.01
2004-04-19,17.19
2004-04-26,18.13
2004-05-03,18.47
2004-05-10,18.49
2004-05-17,15.5
2004-05-24,16.78
2004-05-31,16.07
2004-06-07,14.99
2004-06-14,15.19
2004-06-21,15.08
2004-06-28,15.78
2004-07-05,14.34
2004-07-12,16.5
2004-07-19,15.32
2004-07-26,19.34
2004-08-02,17.98
2004-08-09,16.0
2004-08-16,14.71
2004-08-23,13.91
2004-08-30,14.01
2004-09-06,14.03
2004-09-13,14.28
2004-09-20,12.75
2004-09-27,15.05
2004-10-04,15.04
2004-10-11,15.28
2004-10-18,16.27
2004-10-25,13.84
2004-11-01,13.33
2004-11-08,13.5
2004-11-15,13.3
2004-11-22,12.96
2004-11-29,12.76
2004-12-06,11.95
2004-12-13,12.14
2004-12-20,13.29
2004-12-27,13.49
2005-01-03,12.43
2005-01-10,14.36
2005-01-17,13.24
2005-01-24,11.21
2005-01-31,11.43
2005-02-07,11.18
2005-02-14,11.49
2005-02-21,11.94
2005-02-28,12.8
2005-03-07,13.14
2005-03-14,13.75
2005-03-21,14.09
2005-03-28,12.62
