date,vn30
2020-01-20,848.63
2020-01-27,863.49
2020-02-03,865.86
2020-02-10,868.89
2020-02-17,831.97
2020-02-24,835.97
2020-03-02,716.65
2020-03-09,673.7
2020-03-16,642.23
2020-03-23,649.15
2020-03-30,695.74
2020-04-06,734.98
2020-04-13,725.05
2020-04-20,715.33
2020-04-27,760.15
2020-05-04,773.95
2020-05-11,803.14
2020-05-18,806.23
2020-05-25,826.47
2020-06-01,807.76
2020-06-08,808.28
2020-06-15,795.53
2020-06-22,789.87
2020-06-29,809.02
2020-07-06,814.16
2020-07-13,772.29
2020-07-20,740.73
2020-07-27,782.15
2020-08-03,791.98
2020-08-10,793.6
2020-08-17,821.93
2020-08-24,840.54
2020-08-31,825.56
2020-09-07,841.26
2020-09-14,854.71
2020-09-21,861.51
2020-09-28,874.53
2020-10-05,901.59
2020-10-12,930.3
2020-10-19,892.55
2020-10-26,902.91
2020-11-02,931.2
2020-11-09,950.89
2020-11-16,971.11
2020-11-23,984.34
2020-11-30,1008.65
2020-12-07,1036.65
2020-12-14,1052.13
2020-12-21,1070.77
2020-12-28,1147.86
2021-01-04,1182.2
2021-01-11,1156.58
2021-01-18,1048.31
2021-01-25,1135.5
2021-02-01,1129.49
2021-02-08,1180.59
2021-02-15,1173.6
2021-02-22,1173.83
2021-03-01,1187.81
2021-03-08,1203.36
2021-03-15,1167.19
2021-03-22,1238.03
2021-03-29,1253.26
2021-04-05,1276.87
2021-04-12,1301.39
2021-04-19,1312.28
2021-04-26,1340.73
2021-05-03,1380.02
2021-05-10,1425.04
2021-05-17,1458.78
2021-05-24,1508.35
2021-05-31,1487.61
2021-06-07,1481.3
2021-06-14,1500.3
2021-06-21,1554.59
2021-06-28,1494.43
2021-07-05,1438.05
2021-07-12,1401.53
2021-07-19,1447.23
2021-07-26,1476.79
2021-08-02,1484.25
2021-08-09,1450.45
2021-08-16,1418.57
2021-08-23,1426.94
2021-08-30,1448.33
2021-09-06,1455.59
2021-09-13,1459.94
2021-09-20,1441.83
2021-09-27,1476.54
2021-10-04,1504.84
2021-10-11,1488.71
2021-10-18,1532.35
2021-10-25,1531.76
2021-11-01,1527.94
2021-11-08,1500.05
2021-11-15,1566.55
2021-11-22,1503.98
2021-11-29,1519.46
2021-12-06,1513.56
2021-12-13,1506.67
2021-12-20,1535.71
2021-12-27,1532.24
2022-01-03,1523.57
2022-01-10,1502.16
2022-01-17,1532.24
2022-01-24,1532.24
2022-01-31,1545.92
2022-02-07,1531.47
2022-02-14,1526.5
2022-02-21,1525.34
2022-02-28,1477.14
2022-03-07,1476.94
2022-03-14,1498.36
2022-03-21,1542.47
2022-03-28,1524.31
2022-04-04,1493.74
2022-04-11,1444.32
2022-04-18,1417.31
2022-04-25,1373.21
2022-05-02,1223.76
2022-05-09,1282.51
2022-05-16,1335.68
2022-05-23,1327.4
2022-05-30,1325.69
2022-06-06,1258.03
2022-06-13,1235.47
